precision,bit_size,starting_hash_size,downgraded_hash_size,hasher,composite_hash,average_number_of_duplicates,absolute_average_number_of_duplicates,total_number_of_hashes
12,5,32,24,AHasher,SwitchHash,0.00005154446177847115,0.03304,641
12,6,32,24,AHasher,SwitchHash,0.000051807542262678805,0.03984,769
12,6,32,24,WyHash,SwitchHash,0.00005185955786736021,0.03988,769
12,5,32,24,XxHash64,SwitchHash,0.00005219973673946958,0.03346,641
10,5,32,24,WyHash,CurrentHash,0.000052795031055900614,0.0085,161
12,6,32,24,XxHash64,SwitchHash,0.0000528218465539662,0.04062,769
9,6,32,24,XxHash64,CurrentHash,0.00005463917525773196,0.0053,97
4,6,24,16,XxHash64,SwitchHash,0.000056666666666666664,0.00034,6
4,6,24,16,AHasher,SwitchHash,0.000056666666666666664,0.00034,6
9,6,32,24,AHasher,CurrentHash,0.00005917525773195876,0.00574,97
5,4,24,16,XxHash64,SwitchHash,0.00006,0.00036,6
9,6,32,24,WyHash,CurrentHash,0.00006412371134020619,0.00622,97
4,5,24,16,XxHash64,SwitchHash,0.00006666666666666666,0.0004,6
4,6,24,16,WyHash,SwitchHash,0.00006666666666666666,0.0004,6
4,5,24,16,AHasher,SwitchHash,0.00007333333333333332,0.00044,6
12,4,32,24,AHasher,CurrentHash,0.00007886947185672514,0.04046,513
4,5,24,16,WyHash,SwitchHash,0.00008,0.00048,6
5,4,24,16,AHasher,SwitchHash,0.00008,0.00048,6
12,4,32,24,WyHash,CurrentHash,0.0000804288499025341,0.04126,513
12,4,32,24,XxHash64,CurrentHash,0.00008140350877192983,0.04176,513
13,4,32,24,WyHash,SwitchHash,0.00008353170731707317,0.08562,1025
5,6,24,16,XxHash64,SwitchHash,0.00008444444444444443,0.00076,9
13,4,32,24,XxHash64,SwitchHash,0.00008483902439024391,0.08696,1025
13,4,32,24,AHasher,SwitchHash,0.00008684878048780488,0.08902,1025
5,4,24,16,WyHash,SwitchHash,0.00009,0.00054,6
13,6,32,24,WyHash,SwitchHash,0.00009482108849761442,0.14574,1537
11,5,32,24,AHasher,CurrentHash,0.00009576323987538939,0.03074,321
13,5,32,24,WyHash,SwitchHash,0.00009687745169789228,0.1241,1281
13,6,32,24,XxHash64,SwitchHash,0.00009731946195239644,0.14958,1537
11,5,32,24,WyHash,CurrentHash,0.0000976325934579439,0.03134,321
13,6,32,24,AHasher,SwitchHash,0.00009836045089188897,0.15118,1537
13,5,32,24,XxHash64,SwitchHash,0.00010026542983996878,0.12844,1281
11,5,32,24,XxHash64,CurrentHash,0.00010037383177570092,0.03222,321
13,5,32,24,AHasher,SwitchHash,0.00010087432913739267,0.12922,1281
5,5,24,16,XxHash64,SwitchHash,0.00010222222222222222,0.00092,9
5,6,24,16,WyHash,SwitchHash,0.00010888888888888889,0.00098,9
5,4,24,16,AHasher,CurrentHash,0.00011999999999999998,0.00072,6
10,6,32,24,XxHash64,CurrentHash,0.0001205181347150259,0.02326,193
10,6,32,24,AHasher,CurrentHash,0.00012310880829015543,0.02376,193
10,6,32,24,WyHash,CurrentHash,0.00012341968911917098,0.02382,193
5,5,24,16,WyHash,SwitchHash,0.00012444444444444444,0.00112,9
5,6,24,16,AHasher,SwitchHash,0.00012666666666666666,0.00114,9
5,4,24,16,WyHash,CurrentHash,0.0001333333333333333,0.0008,6
6,4,24,16,AHasher,SwitchHash,0.00014545454545454546,0.0016,11
6,4,24,16,XxHash64,SwitchHash,0.00014727272727272728,0.00162,11
5,5,24,16,AHasher,SwitchHash,0.0001488888888888889,0.00134,9
6,4,24,16,WyHash,SwitchHash,0.00015654545454545457,0.00172,11
13,4,32,24,XxHash64,CurrentHash,0.0001576586318597561,0.1616,1025
13,4,32,24,AHasher,CurrentHash,0.0001604489329268293,0.16446,1025
14,4,32,24,WyHash,SwitchHash,0.00016053688537091262,0.32894,2049
14,4,32,24,XxHash64,SwitchHash,0.00016217670014336263,0.3323,2049
13,4,32,24,WyHash,CurrentHash,0.00016288784298780487,0.16696,1025
14,4,32,24,AHasher,SwitchHash,0.0001664519277696437,0.34106,2049
14,5,32,24,WyHash,SwitchHash,0.00016869974192210073,0.43204,2561
14,5,32,24,XxHash64,SwitchHash,0.00017001956328094493,0.43542,2561
14,5,32,24,AHasher,SwitchHash,0.00017398674223935963,0.44558,2561
5,4,24,16,XxHash64,CurrentHash,0.00017666666666666663,0.00106,6
6,5,24,16,AHasher,SwitchHash,0.0001771428571428571,0.00248,14
