precision,bit_size,hash_size,uniform_rice_coefficient,geometric_rice_coefficient,rate,mean_compressed_size,number_of_hashes,number_of_hashes_with_code,extra_hashes
12,6,23,12,0,0.6891,15.9471,1024,1486,462
12,6,24,13,0,0.7372,17.0395,1024,1389,365
13,4,17,0,0,0.1793,4.1995,1365,7612,6247
13,4,18,6,0,0.4197,9.8207,1365,3252,1887
13,4,19,7,0,0.4691,10.9684,1365,2910,1545
13,4,20,8,0,0.5186,12.1147,1365,2632,1267
13,4,21,9,0,0.5680,13.2600,1365,2403,1038
13,4,22,10,0,0.6176,14.4060,1365,2210,845
13,4,23,11,0,0.6675,15.5522,1365,2045,680
13,4,24,13,0,0.7154,16.6576,1365,1908,543
13,5,18,0,0,0.1695,3.9842,1706,10067,8361
13,5,19,7,0,0.4540,10.6654,1706,3758,2052
13,5,20,8,0,0.5016,11.7759,1706,3401,1695
13,5,21,9,0,0.5493,12.8864,1706,3106,1400
13,5,22,10,0,0.5969,13.9975,1706,2858,1152
13,5,23,11,0,0.6447,15.1085,1706,2646,940
13,5,24,12,0,0.6927,16.2198,1706,2463,757
13,6,19,0,0,0.1646,3.8795,2048,12444,10396
13,6,20,7,0,0.4879,11.4936,2048,4198,2150
13,6,21,9,0,0.5375,12.6552,2048,3810,1762
13,6,22,10,0,0.5840,13.7433,2048,3507,1459
13,6,23,11,0,0.6305,14.8320,2048,3248,1200
13,6,24,12,0,0.6772,15.9217,2048,3024,976
14,4,18,0,0,0.1768,4.1853,2730,15439,12709
14,4,19,6,0,0.4144,9.8039,2730,6588,3858
14,4,20,7,0,0.4629,10.9486,2730,5897,3167
14,4,21,8,0,0.5115,12.0920,2730,5337,2607
14,4,22,9,0,0.5601,13.2346,2730,4874,2144
14,4,23,10,0,0.6088,14.3779,2730,4484,1754
14,4,24,11,0,0.6575,15.5210,2730,4152,1422
14,5,19,0,0,0.1676,3.9760,3413,20359,16946
14,5,20,7,0,0.4494,10.6534,3413,7595,4182
14,5,21,8,0,0.4963,11.7618,3413,6877,3464
14,5,22,9,0,0.5432,12.8706,3413,6283,2870
14,5,23,10,0,0.5903,13.9794,3413,5782,2369
14,5,24,11,0,0.6373,15.0886,3413,5355,1942
14,6,20,0,0,0.1631,3.8745,4096,25113,21017
14,6,21,7,0,0.4831,11.4739,4096,8478,4382
14,6,22,9,0,0.5326,12.6446,4096,7691,3595
14,6,23,10,0,0.5785,13.7314,4096,7080,2984
14,6,24,11,0,0.6245,14.8188,4096,6559,2463
15,4,19,0,0,0.1315,4.1759,4096,31137,27041
15,4,20,6,0,0.3086,9.7939,4096,13273,9177
15,4,21,7,0,0.3447,10.9369,4096,11883,7787
15,4,22,8,0,0.3807,12.0784,4096,10758,6662
15,4,23,9,0,0.4168,13.2196,4096,9827,5731
15,4,24,10,0,0.4529,14.3613,4096,9043,4947
15,4,25,11,0,0.4890,15.5030,4096,8376,4280
15,4,26,13,0,0.5247,16.6311,4096,7806,3710
15,4,27,14,0,0.5584,17.6940,4096,7335,3239
15,4,28,15,0,0.5921,18.7570,4096,6918,2822
15,4,29,16,0,0.6258,19.8212,4096,6545,2449
15,4,30,17,0,0.6596,20.8856,4096,6210,2114
15,4,31,18,0,0.6934,21.9500,4096,5907,1811
15,4,32,19,0,0.7271,23.0150,4096,5633,1537
15,5,20,0,0,0.1249,3.9708,5120,40983,35863
15,5,21,7,0,0.3350,10.6457,5120,15284,10164
15,5,22,8,0,0.3699,11.7533,5120,13841,8721
15,5,23,9,0,0.4049,12.8611,5120,12646,7526
15,5,24,10,0,0.4398,13.9683,5120,11642,6522
15,5,25,11,0,0.4748,15.0764,5120,10784,5664
15,5,26,12,0,0.5098,16.1847,5120,10044,4924
15,5,27,13,0,0.5448,17.2944,5120,9398,4278
15,5,28,14,0,0.5799,18.4039,5120,8829,3709
15,5,29,15,0,0.6149,19.5138,5120,8326,3206
15,5,30,17,0,0.6500,20.6219,5120,7877,2757
15,5,31,18,0,0.6832,21.6715,5120,7494,2374
15,5,32,19,0,0.7164,22.7212,5120,7147,2027
15,6,21,0,0,0.1217,3.8715,6144,50491,44347
15,6,22,7,0,0.3603,11.4619,6144,17051,10907
15,6,23,9,0,0.3973,12.6378,6144,15463,9319
15,6,24,10,0,0.4316,13.7238,6144,14237,8093
15,6,25,11,0,0.4658,14.8107,6144,13190,7046
15,6,26,12,0,0.5001,15.8978,6144,12286,6142
15,6,27,13,0,0.5344,16.9852,6144,11498,5354
15,6,28,14,0,0.5687,18.0734,6144,10804,4660
15,6,29,15,0,0.6030,19.1618,6144,10189,4045
15,6,30,16,0,0.6374,20.2511,6144,9639,3495
15,6,31,17,0,0.6718,21.3405,6144,9146,3002
15,6,32,18,0,0.7062,22.4302,6144,8700,2556
16,4,20,0,0,0.1309,4.1707,8192,62571,54379
16,4,21,6,0,0.3073,9.7875,8192,26659,18467
16,4,22,7,0,0.3432,10.9297,8192,23871,15679
16,4,23,8,0,0.3791,12.0709,8192,21611,13419
16,4,24,9,0,0.4149,13.2114,8192,19743,11551
